Ref Des / Part Name,used,Type,Pin Number,Description
OPTION,100,Resistor,MCLR,series resistor for MCLR pin to ICSP
ICSPPUR,20k,Resistor,MCLR,pullup for programmer ICSP
LEDRESEXTRA,330,LED Resistor,n/a,LED resistor for the extra power LED.
LEDRESMAIN,330,LED Resistor,n/a,LED resistor for the main power LED.
REG_EXTRA,2940,Regulator,n/a,Extra Power Regulator
REG_MAIN,3940,Regulator,n/a,3.3V TO-220 Main Regulator
CEXTRA,0.1uF,Component,n/a,0.1uF capacitor for extra power regulator.
CMAIN,0.1uF,Component,n/a,0.1uF capacitor for main power regulator.
Q21,20MHz ,Crystal/Oscillator,n/a,oscillator for PIC
JP2,24V,Jumper/Connector,n/a,External power connection for high voltage like 24V.
Flywire1,5V,Jumper/Connector,n/a,Jump 5V alt to fuse input of 3.3V regulator
ICSP,yes,header,n/a,header for icsp
PIC18LF2580,yes,Micro Controller,n/a,The main micro controller for all pin mapping.
Q22,,Crystal/Oscillator,n/a,to RTC(Real Time Clock) Chip.
SER8,0,Serial,RA0,RA0/ ADC CH0
C8/PDR8,698,Capacitor,RA0,RA0/ ADC CH0
X3-8,yes,Connector/Terminal,RA0,Heater Thermistor
PUR8,,Resistor,RA0,RA0/ ADC CH0
IN/OUT/OW,yes,header,RA1,pwr & gnd for esp-01s not using RA1
SER18,,Serial,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
X4-8,,Connector/Terminal,RA1,
FBD18,,Diode,RA1,Fly back diode for corresponding transistor RA1 (One Wire)
FUSE10A-B18,,fuse,RA1,FUSE10A use with TR-B18
LED18,,LED,RA1,Output indicator for TR-A18 or TR-B18.
LEDR18,,LED Resistor,RA1,LED resistor for TR-A18 or TR-B18.
OUTPUT2-5,,Output/Terminal,RA1,Low side drive power out.
OUTPUT2-6,,Output/Terminal,RA1,TR-A18 or TR-B18 FET low side drive.
PDR18,,Resistor,RA1,RA1/ IN/OUT/OW (One wire with power and gnd)/ R2out on MAX232/ Manual input to TR-A18 or TR-B18
Polyfuse-A18,,fuse,RA1,Polyfuse
PUOR18,,Resistor,RA1,Pull up output resistor for RA1 (One Wire Pull-up)
PUR18,,Resistor,RA1,RA1 (One Wire Pull-up)
TR-A18,,FET,RA1,FET TR-A18 SMD
TR-B18,,FET,RA1,FET TR-B18 TO-220
SER5,0,Serial,RA2,RA2/AN2/ T2in MAX232
PUR5,50.3k,Resistor,RA2,RA2/AN2/ T2in MAX232
X3-5,yes,Connector/Terminal,RA2,Box Thermistor
C5,,Capacitor,RA2,RA2/AN2/ T2in MAX232
C4,0,Capacitor,RA3,RA3/AN3/ CS for max6674
PUR4,,Resistor,RA3,RA3/AN3/ CS for max6674
SER4,,Serial,RA3,RA3/AN3/ CS for max6674
X3-4,box thermistor gnd,Connector/Terminal,RA3,Ra3/AN3/ CS on Max 6674 T/C chip.
C3,0,Capacitor,RA4,RA4/T0CKI
X3-3,btn gnd,Connector/Terminal,RA4,RA4/T0CKI.
PUR3,,Resistor,RA4,RA4/T0CKI
SER3,,Serial,RA4,RA4/T0CKI
FBD17,,Diode,RA5,Fly back diode for corresponding transistor A17 or B17.
FUSE10A-B17,,fuse,RA5,FUSE10A use with TR-B17
LED17,,LED,RA5,Output indicator for TR-A17 or TR-B17.
LEDR17,,LED Resistor,RA5,LED resistor for TR-A17 or TR-B17.
OUTPUT2-3,,Output/Terminal,RA5,Low side drive power out.
OUTPUT2-4,,Output/Terminal,RA5,TR-A17 or TR-B17 FET low side drive.
PDR17,,Resistor,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
Polyfuse-A17,,fuse,RA5,Polyfuse
PUOR17,,Resistor,RA5,Pull up output resistor for A17 or B17.
PUR17,,Resistor,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
SER17,,Serial,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17
TR-A17,,FET,RA5,FET TR-A17 SMD
TR-B17,,FET,RA5,FET TR-B17 TO-220
X4-7,,Connector/Terminal,RA5,RA5/AN5/ Manual input to TR-A17 or TR-B17.
SER2,0,Serial,RB0,RB0/INT0
PUR2,20k,Resistor,RB0,RB0/INT0
X3-2,yes,Connector/Terminal,RB0,Menu Button(other side to ground)
C2,,Resistor,RB0,RB0/INT0 (Menu Button Pull-down)
SER6,0,Serial,RB1,RB1/INT1/ SCL for timer or memory chips
PUR6,20k,Resistor,RB1,RB1/INT1/ SCL for timer or memory chips
X3-6,yes,Connector/Terminal,RB1,Up Button(other side to ground)
C6,,Resistor,RB1,RB1/INT1/ SCL for timer or memory chips (Up Button Pull-down)
SER1,0,Serial,RB2,RB2/INT2
PUR1,20k,Resistor,RB2,RB2/INT2
X3-1,yes,Connector/Terminal,RB2,Down Button(other side to ground)
C1,,Resistor,RB2,RB2/INT2 (Down Button Pull-down)
SER7,0,Serial,RB3,RB3/ SDA for timer or memory chips
PUR7,20k,Resistor,RB3,RB3/ SDA for timer or memory chips
X3-7,yes,Connector/Terminal,RB3,Select Button(other side to ground)
C7,,Resistor,RB3,RB3/ SDA for timer or memory chips (Select Button Pull-down)
B4SER,yes,solder bridge,RB4,use for connecting RB4 to SERIAL out
X4-6,,Connector/Terminal,RB4,Display Serial Output
FBD16,,Diode,RB4,Fly back diode for corresponding transistor A16 or B16 (Display).
FUSE10A-B16,,fuse,RB4,FUSE10A use with TR-B16 (Display)
LED16,,LED,RB4,Output indicator for TR-A16 or TR-B16 (Display).
LEDR16,,LED Resistor,RB4,LED resistor for TR-A16 or TR-B16 (Display).
OUTPUT2-1,,Output/Terminal,RB4,Low side drive power out.
OUTPUT2-2,,Output/Terminal,RB4,TR-A16 or TR-B16 FET low side drive.
PDR16,,Resistor,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
Polyfuse-A16,,fuse,RB4,Polyfuse
PUOR16,,Resistor,RB4,Pull up output resistor for A16 or B16 (Display).
PUR16,,Resistor,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
SER16,,Serial,RB4,RB4/ jumper connection B4SER to use serial jumper/ Manual input to TR-A16 or TR-B16
TR-A16,,FET,RB4,FET TR-A16 SMD
TR-B16,,FET,RB4,FET TR-B16 TO-220 (Display)
FBD15,,Diode,RB5,Fly back diode for corresponding transistor A15 or B15.
FUSE10A-B15,,fuse,RB5,FUSE10A use with TR-B15
LED15,,LED,RB5,Output indicator for TR-A15 or TR-B15.
LEDR15,,LED Resistor,RB5,LED resistor for TR-A15 or TR-B15.
OUTPUT1-10,,Output/Terminal,RB5,TR-A15 or TR-B15 FET low side drive.
OUTPUT1-9,,Output/Terminal,RB5,Low side drive power out.
PDR15,,Resistor,RB5,RB5/ Manual input to TR-A15 or TR-B15
Polyfuse-A15,,fuse,RB5,Polyfuse
PUOR15,,Resistor,RB5,Pull up output resistor for A15 or B15.
PUR15,,Resistor,RB5,RB5/ Manual input to TR-A15 or TR-B15
SER15,,Serial,RB5,RB5/ Manual input to TR-A15 or TR-B15
TR-A15,,FET,RB5,FET TR-A15 SMD
TR-B15,,FET,RB5,FET TR-B15 TO-220
X4-5,,Connector/Terminal,RB5,RB5/ Manual input to TR-A15 or TR-B15.
FBD14,,Diode,RC0,Fly back diode for corresponding transistor A14 or B14.
FUSE10A-B14,,fuse,RC0,FUSE10A use with TR-B14
LED14,,LED,RC0,Output indicator for TR-A14 or TR-B14.
LEDR14,,LED Resistor,RC0,LED resistor for TR-A14 or TR-B14.
OUTPUT1-7,,Output/Terminal,RC0,Low side drive power out.
OUTPUT1-8,,Output/Terminal,RC0,TR-A14 or TR-B14 FET low side drive.
PDR14,,Resistor,RC0,RC0/ Manual input to TR-A14 or TR-B14
Polyfuse-A14,,fuse,RC0,Polyfuse
